NodesNumber;Density;Time
1400;0.75;894211
1400;0.75;896784
1400;0.75;896960
1400;0.75;895358
1400;0.75;895905
1400;0.99;1188645
1400;0.99;1187139
1400;0.99;1186542
1400;0.99;1186725
1400;0.99;1181467
1400;0.99;1189613
1400;0.99;1189317
1400;0.99;1190036
1400;0.99;1195356
1400;0.99;1190487
1400;0.99;1196336
1400;0.99;1185840
1400;0.99;1190653
1400;0.99;1182983
1400;0.99;1186234
1400;0.99;1190512
1400;0.99;1182622
1400;0.99;1181110
1400;0.99;1189143
1400;0.99;1189479
1400;0.99;1190132
1400;0.99;1188740
1400;0.99;1187683
1400;0.99;1182666
1400;0.99;1188525
1400;0.99;1184684
1400;0.99;1182182
1400;0.99;1184101
1400;0.99;1193557
1400;0.99;1184174
1400;0.99;1187356
1400;0.99;1188924
1400;0.99;1191706
1400;0.99;1187607
1400;0.99;1193274
1400;0.99;1184520
1400;0.99;1186680
1400;0.99;1183883
1400;0.99;1185889
1400;0.99;1189847
1400;0.99;1185276
1400;0.99;1181542
1400;0.99;1189832
1400;0.99;1186566
1400;0.99;1191368
1400;0.99;1188845
1400;0.99;1192993
1400;0.99;1187942
1400;0.99;1184879
1400;0.99;1185933
1600;0.25;425498
1600;0.25;422983
1600;0.25;423080
1600;0.25;421637
1600;0.25;424827
1600;0.25;428020
1600;0.25;421732
1600;0.25;421996
1600;0.25;426491
1600;0.25;420535
1600;0.25;421289
1600;0.25;421960
1600;0.25;421450
1600;0.25;422979
1600;0.25;423977
1600;0.25;422890
1600;0.25;424957
1600;0.25;422531
1600;0.25;423714
1600;0.25;422458
1600;0.25;422346
1600;0.25;423207
1600;0.25;424473
1600;0.25;424283
1600;0.25;421672
1600;0.25;420965
1600;0.25;420522
1600;0.25;423018
1600;0.25;421283
1600;0.25;423172
1600;0.25;422430
1600;0.25;420825
1600;0.25;422651
1600;0.25;422648
1600;0.25;423527
1600;0.25;423011
1600;0.25;424289
1600;0.25;422540
1600;0.25;423022
1600;0.25;422699
1600;0.25;424813
1600;0.25;421776
1600;0.25;421502
1600;0.25;421332
1600;0.25;422062
1600;0.25;423443
1600;0.25;425088
1600;0.25;423570
1600;0.25;422952
1600;0.25;423107
1600;0.5;850034
1600;0.5;850652
1600;0.5;850785
1600;0.5;849669
1600;0.5;848822
1600;0.5;848748
1600;0.5;848011
1600;0.5;847008
1600;0.5;848096
1600;0.5;850021
1600;0.5;849452
1600;0.5;850804
1600;0.5;852429
1600;0.5;850421
1600;0.5;848038
1600;0.5;850847
1600;0.5;849291
1600;0.5;852639
