NodesNumber;Density;Time
1400;0.5;17604183
1400;0.5;17636828
1400;0.5;17619654
1400;0.5;17659984
1400;0.5;17652909
1400;0.5;17635262
1400;0.5;17591927
1400;0.5;17611405
1400;0.5;17568752
1400;0.5;17545367
1400;0.5;17479238
1400;0.5;17515504
1400;0.5;17465574
1400;0.5;17425874
1400;0.5;17452948
1400;0.5;17496008
1400;0.5;17457886
1400;0.5;17468367
1400;0.5;17501128
1400;0.5;17454269
1400;0.75;26245219
1400;0.75;26299859
1400;0.75;26322869
1400;0.75;26493641
1400;0.75;26447467
1400;0.75;26534852
1400;0.75;26500207
1400;0.75;26401517
1400;0.75;26434639
1400;0.75;26311801
1400;0.75;26307091
1400;0.75;26217204
1400;0.75;26185913
1400;0.75;26247823
1400;0.75;26246888
1400;0.75;26213348
1400;0.75;26174573
1400;0.75;26354535
1400;0.75;26303643
1400;0.75;26436958
1400;0.75;26510743
1400;0.75;26493640
1400;0.75;26461544
1400;0.75;26474747
1400;0.75;26404993
1400;0.75;26358435
1400;0.75;26260978
1400;0.75;26245156
1400;0.75;26287666
1400;0.75;26245259
1400;0.75;26262643
1400;0.75;26270343
1400;0.75;26191283
1400;0.75;26309710
1400;0.75;27204657
1400;0.75;26321589
1400;0.75;26382876
1400;0.75;26381113
1400;0.75;26440568
1400;0.75;26395597
1400;0.75;26437543
1400;0.75;26312819
1400;0.75;26284187
1400;0.75;26300532
1400;0.75;26168605
1400;0.75;26187448
1400;0.75;26214563
1400;0.75;26233613
1400;0.75;26181856
1400;0.75;26240612
1400;0.99;34902085
1400;0.99;34927733
1400;0.99;34984060
1400;0.99;35102047
1400;0.99;34998017
1400;0.99;35026538
1400;0.99;34950982
1400;0.99;34787667
1400;0.99;34760964
1400;0.99;34809276
1400;0.99;34730860
1400;0.99;34874156
1400;0.99;34821271
1400;0.99;34927500
1400;0.99;34963489
1400;0.99;35025538
1400;0.99;35097420
1400;0.99;35053607
1400;0.99;34911040
1400;0.99;34828315
1400;0.99;34659922
1400;0.99;34750913
1400;0.99;34781155
1400;0.99;34787377
1400;0.99;34892185
1400;0.99;34856935
1400;0.99;34969042
1400;0.99;35071344
1400;0.99;35024426
1400;0.99;35051778
1400;0.99;34942850
1400;0.99;34850219
1400;0.99;34749461
1400;0.99;34807984
